word,occurences
sluggish,44
booking,44
pressure,39
slip,37
widens,32
plunge,28
bearish,26
slump,24
lay,24
cardamom,22
lows,20
worst,19
tanks,19
slumps,18
cautious,17
fails,16
loses,15
scanfil,15
tank,14
tumble,14
nsel,14
unlikely,14
pretax,14
temporarily,13
weaken,12
adequate,12
offtake,12
concern,12
offs,12
weakens,11
soften,11
chana,11
slipped,11
mentha,10
uncertainty,10
faces,10
laid,10
face,9
resistance,9
lose,9
disappoint,9
choppy,9
disappoints,9
oils,9
acc,9
australian,9
scam,9
promoter,8
ample,8
refined,8
soya,8
plummets,8
losing,8
moment,8
slow,8
slams,8
wary,7
voltas,7
lost,7
weaker,7
downtrend,7
avinnash,7
gorakssakar,7
political,7
stockists,7
chilli,7
drags,7
downside,7
cracks,7
fail,7
problems,7
pm,7
senators,7
sharply,6
rouble,6
oversupply,6
softens,6
guargum,6
downgrade,6
coriander,6
slides,6
amtek,6
tumbles,6
sinks,6
arrest,6
sstl,6
mount,6
sink,6
jubilant,6
difficult,6
discount,6
hurts,6
employment,6
cools,5
clearly,5
attack,5
participants,5
bears,5
job,5
default,5
109,5
retreats,5
pound,5
polaris,5
slowing,5
cbi,5
exide,5
rupiah,5
feels,5
foodworks,5
closure,5
usfda,5
101,5
think,5
gail,5
pare,5
hdil,5
running,5
york,5
ebit,5
redundant,5
vindman,5
voter,5
firing,5
sideways,4
beml,4
turmeric,4
jitters,4
basmati,4
burden,4
breaks,4
zealand,4
mustard,4
vulnerable,4
mood,4
cautiously,4
seeds,4
risky,4
ease,4
mixed,4
renewed,4
meltdown,4
almond,4
fewer,4
yr,4
challenges,4
shuts,4
iob,4
tougher,4
sinking,4
novartis,4
onion,4
adag,4
glut,4
ipca,4
nos,4
trims,4
reject,4
factors,4
mart,4
godrej,4
dives,4
jittery,4
overhang,4
concerned,4
janet,4
yellen,4
took,4
irb,4
bofa,4
nothing,4
challenging,4
slows,4
enough,4
dhanlaxmi,4
coca,4
miss,4
trouble,4
affect,4
workforce,4
persons,4
jyvaskyla,4
diluted,4
qualcomm,4
x201a,4
yhtyma,4
immigration,4
sondland,4
investigation,4
bennet,4
wants,4
college,4
impeached,4
bidens,4
bhat,3
devaluation,3
crop,3
mounting,3
soyabean,3
loose,3
retreat,3
426,3
aid,3
watched,3
jump,3
pepper,3
pantaloon,3
stiff,3
damage,3
dewan,3
dampen,3
misses,3
weighs,3
jgbs,3
monitor,3
quits,3
guarseed,3
cag,3
payrolls,3
zew,3
pledged,3
crashes,3
castor,3
threatens,3
arcelormittal,3
slower,3
lag,3
cases,3
shutdown,3
bulls,3
underweight,3
wake,3
apr,3
underperform,3
tracker,3
weakening,3
unrest,3
brace,3
looms,3
longest,3
inquiry,3
mustardseed,3
advised,3
nucleus,3
cheer,3
oracle,3
jignesh,3
subrata,3
roy,3
yevtushenkov,3
lira,3
suffers,3
canara,3
cesc,3
ride,3
wheeler,3
hard,3
elder,3
inches,3
financials,3
uncertain,3
jaypee,3
posting,3
pain,3
print,3
ttk,3
raid,3
gone,3
erodes,3
intra,3
149,3
hampers,3
gitanjali,3
executives,3
yoy,3
spooks,3
pull,3
halts,3
135,3
570,3
kohli,3
indusind,3
exits,3
plunged,3
steam,3
sent,3
renuka,3
sugars,3
aversion,3
invokes,3
kill,3
act,3
smith,3
nfl,3
crackdown,3
electricals,3
clashes,3
disappointment,3
cause,3
259,3
fallout,3
impacted,3
pattern,3
protests,3
21k,3
widened,3
kroons,3
forced,3
problem,3
pressed,3
aiming,3
notice,3
salaried,3
misleading,3
prosecutor,3
failed,3
asked,3
eur13,3
burdened,3
released,3
badly,3
241,3
lowered,3
controversial,3
judges,3
guy,3
details,3
claim,3
lashes,3
beach,3
jr,3
heats,3
angry,3
democrat,3
taunts,3
lawyer,3
steyer,3
broke,3
bait,3
suleimani,3
allies,3
talking,3
crime,3
retribution,3
false,3
ur,2
lifesciences,2
hurting,2
bars,2
sep,2
tulip,2
torrent,2
swings,2
rebounding,2
micro,2
tanked,2
tapering,2
delays,2
availability,2
jeera,2
headwinds,2
immediately,2
never,2
surging,2
draghi,2
bailout,2
defers,2
dive,2
commexe,2
teja,2
shed,2
caustic,2
soda,2
cashew,2
penalties,2
mohini,2
arrivals,2
trendwatchindia,2
fade,2
pressured,2
tread,2
pares,2
succumbs,2
frontline,2
sours,2
downing,2
nigeria,2
bob,2
boe,2
noon,2
admits,2
mismatch,2
dampens,2
fever,2
wilts,2
wobbles,2
fda,2
scrutiny,2
nerves,2
longs,2
exposed,2
spurs,2
346,2
hpcl,2
pricey,2
affair,2
pidilite,2
irish,2
suffer,2
punjab,2
raymond,2
persistent,2
rattles,2
vladimir,2
crashing,2
skip,2
basket,2
bankers,2
tesco,2
texmaco,2
depreciation,2
884,2
derail,2
disappointed,2
question,2
deliberately,2
doubts,2
facing,2
suspended,2
halved,2
sheen,2
asks,2
alert,2
anu,2
merge,2
sanofi,2
385,2
845,2
inks,2
advisory,2
divided,2
gates,2
bleak,2
chambal,2
chances,2
sheth,2
contra,2
defaulting,2
defaults,2
escorts,2
rebounds,2
mehrab,2
soar,2
fortnight,2
fmc,2
havells,2
hikal,2
shrink,2
jaguar,2
rover,2
aide,2
kansai,2
nerolac,2
skids,2
intensifies,2
breaking,2
slaps,2
315,2
1750,2
uco,2
expiry,2
shorting,2
tandon,2
tad,2
techm,2
downgrades,2
recommended,2
confidence,2
ruled,2
dipping,2
euphoria,2
altogether,2
looming,2
persists,2
cantabil,2
sags,2
understand,2
depressed,2
ftil,2
inventories,2
1370,2
bombay,2
motherson,2
sumi,2
7500,2
nissan,2
crack,2
lots,2
445,2
247,2
infratel,2
divis,2
293,2
518,2
skf,2
verticals,2
somany,2
aggressive,2
30k,2
213,2
bogus,2
276,2
death,2
suspends,2
libyan,2
al,2
asking,2
fin,2
shadow,2
panic,2
jail,2
keeping,2
bay,2
370,2
673,2
578,2
lakshmi,2
maggi,2
hurdle,2
aap,2
bumpy,2
sues,2
ed,2
questions,2
daljeet,2
blame,2
bharati,2
buoyant,2
allure,2
mth,2
menthol,2
probes,2
5200,2
cottonseed,2
boc,2
castorseed,2
eurozone,2
whammy,2
organic,2
ny,2
snub,2
impacts,2
error,2
worrying,2
oilmeals,2
dabur,2
divi,2
lab,2
reddys,2
gsfc,2
shrinks,2
troubles,2
fallen,2
testimony,2
grey,2
stockpiles,2
panacea,2
shortage,2
fighting,2
truck,2
curb,2
paris,2
buyers,2
7800,2
rejected,2
hole,2
withdraws,2
founders,2
criticism,2
murthy,2
ndtv,2
seem,2
draw,2
botched,2
composite,2
telcos,2
powers,2
community,2
shake,2
kerala,2
gmdc,2
sick,2
lloyds,2
disaster,2
cmp,2
radico,2
khaitan,2
spook,2
suspected,2
viom,2
tepid,2
dark,2
buffett,2
ignored,2
banned,2
dead,2
blow,2
imported,2
worried,2
specific,2
caused,2
reaction,2
rei,2
731,2
floods,2
kansas,2
france,2
alleged,2
prospectus,2
protest,2
538,2
305,2
struggles,2
democracy,2
beating,2
triggered,2
luck,2
missing,2
slashes,2
across,2
threaten,2
standoff,2
chips,2
ford,2
eur46m,2
eur45m,2
jul,2
paying,2
wet,2
employer,2
disappeared,2
collar,2
oulu,2
terminated,2
skr,2
alliance,2
nasty,2
got,2
snow,2
interrupted,2
pori,2
permanently,2
sievi,2
terminate,2
compensation,2
sites,2
views,2
means,2
nastola,2
clerical,2
hollola,2
fallers,2
eur20m,2
reuters,2
253,2
publishing,2
_landsbanken,2
cloud,2
tornio,2
bothnia,2
inconsistent,2
thing,2
gunpoint,2
slashed,2
cutlery,2
fisas,2
liquidated,2
wife,2
suspect,2
projections,2
border,2
lat1v,2
cancellation,2
fined,2
cartel,2
islands,2
pit,2
hbos,2
informed,2
seats,2
swedbank,2
worse,2
unless,2
gallerix,2
insurer,2
dropping,2
associated,2
520,2
321,2
mti,2
weakened,2
ilk2s,2
slid,2
freenet,2
frankfurt,2
cents,2
repeats,2
asylum,2
lawyers,2
quietly,2
disrupt,2
san,2
diego,2
billionaires,2
nancy,2
nominee,2
fires,2
lying,2
faced,2
pony,2
barack,2
gabbard,2
clinton,2
mocks,2
blast,2
vindictive,2
prayer,2
breakfast,2
saved,2
comey,2
hirono,2
rigged,2
convict,2
rather,2
germ,2
phobic,2
epidemic,2
clash,2
person,2
gordon,2
boys,2
deval,2
patrick,2
divide,2
coronavirus,2
outbreak,2
emails,2
labor,2
king,2
tries,2
steal,2
student,2
aides,2
taunting,2
spreading,2
theory,2
refugees,2
mideast,2
seeking,2
critics,2
predicted,2
playing,2
believe,2
puppet,2
virginia,2
endorsing,2
endorse,2
son,2
susan,2
soleimani,2
revenge,2
americans,2
rand,2
danger,2
hate,2
else,2
everyone,2
injuries,2
obstruction,2
evidence,2
argues,2
troops,2
impeach,2
heaviest,2
mirage,1
bonanza,1
sweet,1
navigate,1
playbook,1
iip,1
1018,1
1048,1
mileen,1
vasudeo,1
boon,1
fmcgs,1
outflow,1
shivanand,1
mankekar,1
fret,1
fervor,1
wipros,1
weird,1
hype,1
iraqi,1
pledges,1
slowly,1
flavour,1
bumper,1
kenyan,1
miffed,1
missed,1
briefly,1
checks,1
sensexs,1
pensions,1
enforcement,1
attaches,1
saradha,1
aptart,1
housingfina,1
soviet,1
rolta,1
ricoh,1
cis,1
sampriti,1
5250,1
5950,1
6820,1
structured,1
bookings,1
agrichem,1
hemen,1
kapadia,1
overvalued,1
diktat,1
rattle,1
manali,1
infraconstruction,1
proceed,1
aggressively,1
hydropower,1
uprising,1
causes,1
groundnut,1
halves,1
sluggishness,1
hated,1
godfrey,1
phillips,1
chill,1
mistaken,1
identity,1
dear,1
diverge,1
bruises,1
failures,1
sag,1
pmis,1
emboldened,1
dhaniya,1
glare,1
tale,1
tumbling,1
rangebound,1
veterans,1
libya,1
restarts,1
oilfield,1
hovers,1
dependence,1
bhels,1
voip,1
deletion,1
turbulence,1
advisable,1
erratic,1
assam,1
brack,1
2nd,1
bites,1
starmine,1
probed,1
bribery,1
psychological,1
edged,1
assocham,1
manipulation,1
miners,1
allocation,1
devalues,1
balasore,1
