,headline,entity,majority_label
0,Russia and Poland Feud Over Putin Remarks on World War II,Putin,Negative
1,Trump Moves to Lift Visa Restrictions on Polish Citizens Who Visit U.S.,Trump,Neutral
2,Trump-Backed U.S.-British Trade Deal Faces Hurdles,Trump,Neutral
3,Trump’s Arrival in London Brings Controversy but Little Surprise,Trump,Negative
4,Trump Steers Clear of War Footing Toward Iran,Trump,Neutral
5,Trump Says Son of Osama bin Laden Killed in U.S. Operation,Trump,Neutral
6,"Trump, Awaiting Egyptian Counterpart at Summit, Called Out for ‘My Favorite Dictator’",Trump,Negative
7,"Border Patrol Gets New Leader, Its Fourth Under Trump",Trump,Negative
8,"How Bernie Sanders Stumbled, Then Steadied His Presidential Campaign",Sanders,Positive
9,Trump Says He Will Sign Phase-One Trade Deal With China on Jan. 15,Trump,Neutral
10,Trade-Court Lawsuits Take On Trump’s Tariff Campaign,Trump,Negative
11,Trump Administration Awards Migrant Detention Contracts Days Before California Would Ban Them,Trump,Positive
12,Athletes Seeking Green Cards Find Proving They’re Exceptional Has Gotten Tougher Under Trump,Trump,Negative
13,House Democrats May Vote on Trump Impeachment Charges This Week,Democrats,Neutral
14,"Bloomberg’s controversial comments on stop and frisk, China and more",Bloomberg,Neutral
15,Pro-Biden super PAC warns of 'doomsday scenario' for Democrats,Democrats,Negative
16,"Fox News Poll: Biden and Sanders vie for lead in Nevada, Biden tops Trump",Trump,Negative
17,"Brad Parscale on Joe Biden leaving New Hampshire early, Mike Bloomberg's 'stop and frisk' comments",Biden,Negative
18,Trump campaign dismisses claim that the president is 'scared' of Bernie Sanders,Sanders,Neutral
19,Dagen McDowell questions why 2020 rivals aren't going after Pete Buttigieg's failures as mayor,Buttigieg,Negative
20,Sen. Kamala Harris claims GOP 'abortion survivors' bill would do more harm than good,GOP,Negative
21,"Dana Perino on Joe Biden's decision to abandon New Hampshire, head to South Carolina",Biden,Neutral
22,"Trump campaign says president is working to expand his base, won't take New Hampshire for granted",Trump,Neutral
23,John Sununu doubts Elizabeth Warren can sway undecided voters in New Hampshire,Warren,Negative
24,Chris Wallace: Biden is 'mortally wounded' if he has bad result in New Hampshire,Biden,Negative
25,Sen. Lindsey Graham says President Trump can run on a record that Democrats can't refute,Trump,Positive
26,"Bloomberg heard in 2015 audio clip defending ‘stop and frisk,’ throwing minority kids against wall: report",Bloomberg,Negative
27,Trump stirs pardon speculation with condemnation of DOJ’s Roger Stone treatment,Trump,Neutral
28,Rep. Mark Meadows says part of the Trump administration is trying to defeat President Trump's agenda,Trump,Negative
29,"Martha MacCallum previews New Hampshire primary, breaks down challenge 'stop and frisk' presents for Bloomberg",Bloomberg,Neutral
30,Donna Brazile says Mike Bloomberg has more explaining to do over 'stop and frisk' policy,Bloomberg,Negative
31,Justin Haskins likens Bernie Sanders' political career to socialism: It doesn't work,Sanders,Negative
