,headline,topic,sentiment
0,Boris Johnson Joins Trump in Redefining Conservatism,Trump,neutr
1,Trump Praises Controversial Hungarian Leader,Trump,neg
2,"Stung by Trump’s Criticisms of Russian Gas Deal, Germany Makes Its Own Threats",Trump,neutr
3,What ‘America First’ Means Under Trump Is Coming Into Focus,Trump,neutr
4,Trump Set to Meet With Russia’s Top Diplomat Tuesday,Trump,neutr
5,"Trump Clashes With Macron on NATO, Trade and Islamic State",Trump,neutr
6,"Donald Trump Won’t Slow Efforts to Fight Climate Change, John Kerry Predicts",Trump,pos
7,Trump to Attend NATO Summit in London,Trump,neutr
8,"Trump-Erdogan Rapport Tested by Tensions Over Syria, Russia",Trump,neutr
9,Trump Says Erdogan Visit to U.S. Is On U.S. Officials Travel to Ankara,Trump,neutr
10,Ukrainian President Denies Trump Pressured Him During July Call,Trump,neutr
11,"In Months Before Trump Call, Ukraine Officials Sweated White House Pressure",Trump,neg
12,Ukraine to Review Investigations Into Firm Linked to Biden’s Son,Biden,neutr
13,Taliban Negotiators Meet With Russian Officials After Trump Ends Talks,Trump,neg
14,"U.S. Sanctions Tighten Putin’s Circle, Extend Kremlin’s Reach",Putin,neutr
15,New York State Sues Trump Administration Over Global Entry Ban,Trump,neutr
16,Trump’s NASA Budget Will Earmark 12% Boost for Agency in 2021,Trump,pos
17,Trump Says War With Iran Was ‘Closer Than You Thought’,Trump,neg
18,Trump’s Impeachment Is Virtually Over. What Did It Change?,Trump,neutr
19,Fewer Asylum Seekers Have Lawyers Under Trump Administration Policy,Trump,neg
20,Trump Announces Coronavirus Task Force,Trump,neutr
21,Trump Mideast Plan Said to Favor Israeli Goals,Trump,neutr
22,How Putin Outfoxed Trump in Venezuela,Putin,pos
23,"U.S., India Draft Trade Pact for Unveiling in Possible Trump Visit",Trump,pos
24,Ex-Treasury Official Pleads Guilty to Leaks on Trump Campaign Officials,Trump,neutr
25,"Ex-Trump Campaign Official Richard Gates Sentenced to 45 Days in Jail, Three Years Probation",Trump,neg
26,Athletes Seeking Green Cards Find Proving They’re Exceptional Has Gotten Tougher Under Trump,Trump,neutr
27,"Trump Administration Considers 14,000 More Troops for Mideast",Trump,neutr
28,Trump Administration Asks Supreme Court to Reinstate Blocked Executions,Trump,neutr
29,"A Tight Job Market Insulates a Slowing Economy-and Perhaps Trump, Too",Trump,unk
30,Judges Quietly Disrupt Trump Immigration Policy in San Diego,Trump,neg
31,"Bloomberg’s controversial comments on stop and frisk, China and more",Bloomberg,neg
32,"Fox News Poll: Sanders gains among Democrats, Biden still best against Trump",Biden,pos
33,"Fox News Poll: Record economy ratings, as half say Senate should remove Trump",Trump,neutr
34,"Fox News Poll: Biden and Sanders vie for lead in Nevada, Biden tops Trump",Sanders,pos
35,"Fox News Poll: Biden and Sanders vie for lead in Nevada, Biden tops Trump",Trump,neg
36,Rep. Tim Ryan says Joe Biden does really well in the broader electorate,Biden,pos
37,Bloomberg catching heat from black Democratic lawmakers for stop-and-frisk,Bloomberg,pos
38,"Brad Parscale on Joe Biden leaving New Hampshire early, Mike Bloomberg's 'stop and frisk' comments",Bloomberg,neutr
39,Guy Benson says the 'total collapse' of Joe Biden's campaign has been fascinating to watch,Biden,neg
40,Elizabeth Warren rips rivals ‘sucking up to billionaires’ as 2020 rancor extends into primary day,Warren,neg
41,"Biden abruptly cancels New Hampshire primary party appearance, heads to South Carolina",Biden,neutr
42,Pete Buttigieg looks to ride Iowa success to victory in New Hampshire,Buttigieg,pos
43,Stealing the spotlight: Lisa Boothe praises President Trump's 'smart' campaign rally strategy,Trump,pos
44,"After impeachment acquittal, Senate confirms another Trump court pick over Dem objections",Trump,neg
45,Sen. Lindsey Graham says President Trump can run on a record that Democrats can't refute,Trump,pos
