model,accuracy,positive precision,negative precision,positive recall,negative recall,positive f_measure,negative f_measure,model number
NaiveBayesClassifier,54.65%,51.72%,59.39%,40.53%,43.76%,45.45%,50.39%,1
DecisionTreeClassifier,50.56%,44.38%,51.51%,35.32%,34.80%,39.33%,41.54%,1
BernoulliNB,54.71%,48.04%,58.63%,53.62%,60.20%,50.67%,59.40%,1
MultinomialNB,50.62%,56.48%,76.02%,22.16%,26.88%,31.84%,39.72%,1
ComplementNB,56.49%,53.56%,59.94%,49.63%,58.84%,51.52%,59.39%,1
KNeighborsClassifier,55.32%,56.29%,56.55%,33.60%,51.28%,42.08%,53.79%,1
RandomForestClassifier,55.48%,54.27%,58.41%,37.83%,48.48%,44.58%,52.98%,1
LogisticRegression,57.31%,55.16%,64.08%,45.59%,52.52%,49.92%,57.73%,1
MLPClassifier,56.92%,53.54%,62.38%,48.25%,53.80%,50.76%,57.77%,1
AdaBoostClassifier,56.91%,55.90%,59.92%,38.75%,56.52%,45.77%,58.17%,1
NaiveBayesClassifier,57.03%,52.51%,60.50%,40.89%,51.53%,45.98%,55.66%,2
DecisionTreeClassifier,52.16%,49.36%,47.25%,37.19%,32.92%,42.42%,38.80%,2
BernoulliNB,59.93%,54.06%,61.25%,56.26%,58.58%,55.14%,59.88%,2
MultinomialNB,56.34%,78.71%,77.95%,24.10%,30.34%,36.90%,43.68%,2
ComplementNB,60.03%,54.12%,61.39%,57.35%,58.86%,55.69%,60.10%,2
KNeighborsClassifier,59.14%,61.13%,57.89%,40.86%,53.22%,48.98%,55.46%,2
RandomForestClassifier,59.53%,58.89%,60.71%,46.07%,49.56%,51.70%,54.57%,2
LogisticRegression,61.79%,61.29%,65.77%,51.35%,52.26%,55.88%,58.24%,2
MLPClassifier,61.98%,61.71%,62.69%,49.98%,56.93%,55.23%,59.67%,2
AdaBoostClassifier,61.41%,59.22%,63.38%,52.35%,55.44%,55.58%,59.14%,2
NaiveBayesClassifier,58.83%,54.31%,65.54%,41.72%,52.74%,47.19%,58.45%,3
DecisionTreeClassifier,57.16%,52.80%,53.52%,52.98%,43.82%,52.89%,48.18%,3
BernoulliNB,66.42%,63.16%,68.71%,52.42%,62.38%,57.29%,65.39%,3
MultinomialNB,68.89%,70.39%,74.73%,55.71%,58.58%,62.19%,65.68%,3
ComplementNB,63.17%,66.97%,48.21%,54.85%,88.48%,60.30%,62.41%,3
KNeighborsClassifier,65.97%,54.77%,68.42%,70.15%,65.55%,61.51%,66.95%,3
RandomForestClassifier,68.80%,66.35%,70.80%,60.80%,61.98%,63.45%,66.10%,3
LogisticRegression,70.35%,67.38%,74.77%,66.47%,60.70%,66.92%,67.01%,3
MLPClassifier,70.88%,68.25%,72.12%,64.88%,65.75%,66.52%,68.79%,3
AdaBoostClassifier,69.87%,67.24%,72.34%,62.21%,63.75%,64.63%,67.77%,3
NaiveBayesClassifier,54.99%,52.21%,59.37%,41.41%,43.72%,46.19%,50.36%,4
DecisionTreeClassifier,52.12%,48.49%,56.18%,35.69%,28.92%,41.12%,38.18%,4
BernoulliNB,54.98%,68.74%,54.59%,21.50%,57.20%,32.75%,55.87%,4
MultinomialNB,54.15%,66.76%,60.62%,22.14%,40.53%,33.25%,48.58%,4
ComplementNB,55.25%,59.28%,57.57%,29.66%,51.75%,39.54%,54.50%,4
KNeighborsClassifier,40.21%,56.32%,29.78%,34.44%,68.14%,42.74%,41.45%,4
RandomForestClassifier,55.45%,54.22%,59.50%,38.15%,40.73%,44.79%,48.36%,4
LogisticRegression,55.47%,57.72%,64.01%,34.38%,40.61%,43.09%,49.70%,4
MLPClassifier,55.38%,58.14%,60.35%,31.21%,47.10%,40.62%,52.90%,4
AdaBoostClassifier,56.56%,59.28%,59.50%,35.11%,44.47%,44.10%,50.90%,4
NaiveBayesClassifier,59.92%,55.65%,62.09%,45.31%,58.59%,49.95%,60.29%,5
DecisionTreeClassifier,54.90%,57.00%,47.89%,37.20%,37.91%,45.02%,42.32%,5
BernoulliNB,66.17%,63.67%,67.37%,52.26%,62.45%,57.40%,64.82%,5
MultinomialNB,63.71%,66.59%,48.74%,59.85%,87.59%,63.04%,62.63%,5
ComplementNB,63.81%,52.83%,60.98%,67.69%,74.82%,59.35%,67.20%,5
KNeighborsClassifier,64.53%,53.49%,64.12%,71.48%,64.66%,61.19%,64.39%,5
RandomForestClassifier,67.79%,67.34%,64.97%,58.91%,63.01%,62.84%,63.98%,5
LogisticRegression,70.49%,65.58%,71.31%,70.36%,66.18%,67.89%,68.65%,5
MLPClassifier,70.98%,69.47%,70.92%,64.96%,66.51%,67.14%,68.64%,5
AdaBoostClassifier,69.62%,66.70%,68.58%,64.04%,66.35%,65.34%,67.44%,5
NaiveBayesClassifier,59.73%,55.12%,62.99%,43.18%,60.33%,48.43%,61.63%,6
DecisionTreeClassifier,53.60%,53.11%,46.61%,38.66%,40.88%,44.75%,43.56%,6
BernoulliNB,65.21%,59.20%,64.87%,63.24%,66.65%,61.15%,65.75%,6
MultinomialNB,63.79%,65.78%,48.27%,62.48%,87.60%,64.09%,62.24%,6
ComplementNB,63.34%,66.72%,47.52%,59.02%,88.57%,62.63%,61.86%,6
KNeighborsClassifier,65.66%,65.28%,61.21%,58.50%,67.06%,61.70%,64.00%,6
RandomForestClassifier,66.35%,63.89%,65.14%,59.86%,64.67%,61.81%,64.90%,6
LogisticRegression,70.47%,65.84%,70.14%,69.12%,68.23%,67.44%,69.17%,6
MLPClassifier,69.88%,65.76%,69.09%,69.63%,68.19%,67.64%,68.64%,6
AdaBoostClassifier,68.94%,65.38%,67.42%,63.21%,69.00%,64.27%,68.20%,6
