word,occurences
jumps,100
signed,58
soars,43
grew,33
expansion,32
awarded,32
jump,31
beats,28
improved,28
leading,26
improve,24
returns,21
expand,19
bags,18
buys,18
narrowed,18
strengthen,17
zooms,16
climbs,16
pretax,16
approval,15
avinnash,14
gorakssakar,14
strategic,14
aim,13
provide,13
right,12
soar,12
add,12
aims,12
efficient,12
pleased,12
partnership,11
fully,11
upper,10
stk,10
improving,10
upgrade,10
outperform,10
ensure,10
operators,10
enable,10
aspo,10
platform,10
diluted,10
presence,10
strengthens,9
covering,9
uptrend,9
bridge,9
festive,9
acquisitions,9
usfda,9
vysya,9
operator,9
nokian,9
distribution,9
digia,9
areas,9
jumped,9
havells,8
voltas,8
favourable,8
helps,8
boosts,8
mastek,8
ispat,8
build,8
helped,8
amara,8
raja,8
berger,8
decent,8
tandon,8
expands,8
eicher,8
perspective,8
opportunities,8
cadila,8
operational,8
model,8
lithuanian,8
structure,8
ebit,8
partner,8
established,8
develop,8
center,8
poyry,8
sintex,7
refined,7
polaris,7
persistent,7
jeera,7
groundnut,7
buyers,7
atul,7
batteries,7
95,7
speculation,7
