model,accuracy,positive precision,negative precision,positive recall,negative recall,positive f_measure,negative f_measure
NaiveBayesClassifier,58.83%,54.31%,65.54%,41.72%,52.74%,47.19%,58.45%
DecisionTreeClassifier,57.16%,52.80%,53.52%,52.98%,43.82%,52.89%,48.18%
BernoulliNB,66.42%,63.16%,68.71%,52.42%,62.38%,57.29%,65.39%
MultinomialNB,68.89%,70.39%,74.73%,55.71%,58.58%,62.19%,65.68%
ComplementNB,63.17%,66.97%,48.21%,54.85%,88.48%,60.30%,62.41%
KNeighborsClassifier,65.97%,54.77%,68.42%,70.15%,65.55%,61.51%,66.95%
RandomForestClassifier,68.80%,66.35%,70.80%,60.80%,61.98%,63.45%,66.10%
LogisticRegression,70.35%,67.38%,74.77%,66.47%,60.70%,66.92%,67.01%
MLPClassifier,70.88%,68.25%,72.12%,64.88%,65.75%,66.52%,68.79%
AdaBoostClassifier,69.87%,67.24%,72.34%,62.21%,63.75%,64.63%,67.77%
