tweet,sentiment
with the profits ystd and today from playing   i can totally afford buying a mountain cabin here in colorado d probably not a bad idea really enjoy fresh air and beautiful views here this is my regular visit every year at least 4 times a yr just love colorado,Positive
people still care about the  thought it was more   these days but ok sure dow 20k yay but not if  can help it lol,Positive
i legit just won a free share of  microsoft stock for inviting my friend to join  thanx marissa and user a 1 in 150 chance so luckyif you use my link to join well both get a  like   or  for free http,Positive
 great praveen well done congrats and enjoy it happy to help ,Positive
iihs 2019 top safety picks include top safety pick  top safety pick  0 awardsf 1 awardtsla 1 awardnsany 6 awards 2 from mitsubishigeely 4 awards 4 from volvobmw 5 awardsvolkswagen 6 awards 5 from audim http,Positive
user you will not be able to hide from a stock market crash due to trade wars your war threats your failing administration and your lies for example   ,Negative
pretty cool  seattleite wins top prize in microsofts super bowl tech contest   ,Positive
dont spend hundreds on an air purifier houseplants have long been hailed for their ability to remove air toxins improved health and improved decor in the house win win  http       ,Positive
i don’t know who’s dumber the idiot gs analyst who lowers aapl pt or the idiots trading on that downgrade why do stupid analysts get off scott free for their idiotic upgradesdowngradesif you suck at your job get the fuck rid of them ,Negative
listen i get that factories have downtime but story is now salesprofit which fits with why slowed at 3q end but if  is going to crush 4q and has ramping demand they have immense pressure to keep cranking so unimpressive production going on at least 45 weeks now is ,Negative
great day today so many great trades  highlight plays below were     other great movers were       busting out quality plays daily check us out      http,Positive
       shutdown joker making a phone call trade war chaos chaos jokers in top offices debt ceiling coming  the russian probe  this is shocking liquidity moron    http,Negative
yep  bulls definitely won today  congratulations  also thanks for checking out the show ,Positive
 user  user fraud follows a pattern which includes lack of shame remorse or taking accountability of unethical  illegal behavior      ,Negative
beautiful play with  my money maker called live by aj user in the room got other small winner with  and  few loser with  and  over all green for the day thanks a lot for the greatest chatroom  enjoy trading everyone ,Positive
kingtrump is pissed off at twitter and google for suppressing lies fakenews fake narratives and fake and misleading campaign ads what a fing hypocrite                       ,Negative
via gerberkawasaki well that was fun thanks user great show grant want to admit he loved the car   ,Positive
2for example a china factory may produce cars this yr but how will it help make  more profitable  isnt expected to make money with the current output at one factory though it effectively at scale there how will adding more output from a new factory increase profits,Positive
0920 the top scored financials company is zions bancorpzion scored at 8612key words good great profitability attractive strong stock downgrades bull downgraded report highest growth cuttech        ,Positive
these  mar16 1150c now  15 from 618 locked rest all positions super win with 50k profits easily lol,Positive
amazing excellent vision perseverance  passion is da keyyou are a great inspiration to us  praying for your further success in all the endeavors that u get intocnn user user user user user user user user  user ,Positive
many value investors say oil is too complicated so were tech like   until people spent the time analyzing hidden cash flow and asset values and growthkeep analyzing things in different ways the next great investment wont look like the last great investmentoott,Positive
thats pretty much my 2018 pickbitcoin cash and etherium are my two favorite cryptocurrencies  bitcoin and litecoin are great as well  get in now if you ever wanted to get in because this huge value dip is the chance to buy lowand i still like    and ar,Positive
q autopilot where is fullselfdriving whats the holdbackmusk we could do coasttocoast today with special routespecific code we are focused on improving safety stewart we want more safety for current cars active safety improvementstsla ,Positive
hey user i am a huge fan of you user podcastplease please please ask ross for his valuation model maybe we can take a look at it and he explains it or even more awesome he uploads it like user did would be so cooltsla will burn the  shorts,Positive
join our platinum level sub service and get awesome trades like  247 join now and get 2 dvds  a coozie free  ,Positive
i love innovation i also love finding under and over valued stocks  is simply way way over valued it’s simple math,Positive
hey friends i’m just sharing the investing all i use free trades alwaysjoin user and well both get a stock like   or  for free make sure to use my link,Positive
do you think he was coached by his attorneys to say “i represent the best interests of shareholders” by this answer kimbal meant the best interest of solar city shareholdersof whom kimbal was one and not necessarily the best interest of tesla shareholders lol   ,Positive
what a week there were many great trades december has been a strong month for trading i will be posting more charts on sunday stay tuned        hope everyone has a great weekend ,Positive
user i also hope that  succeeds how far ahead their cars are compared to the best that comes from germany japan  korea assures me that it will global supercharger network battery technology and software prowess are its moat m3p best ever,Positive
model 3 was and continues to be the   killer a low margin poorly built cannibalizing entry into the declining small sedan market it would have been difficult to develop a strategyproduct as bad as the model 3 only elon could have made a mistake as bad as that,Negative
join user and well both get a stock like   or  for free make sure to use my link you do not need to disclose your banking info you can bypass that part nothing to lose it’s like free money and i love   http,Positive
really great app that allows free trading i love itjoin user and well both get a share of stock like   or  for free make sure to use my link,Positive
but wait dont forget the 100 complimentary lack of customer servicecos at  we want you to know that once weve sold you a lemon you arent shit to usyellow screenspoor paintmorgue ac stenchdig into those pockets guys it sure as shit isnt  fault,Positive
