name,evaluations
NaiveBayesClassifier,"[{'accuracy': '71.14%'}, {'positive precision': '78.66%'}, {'positive recall': '64.88%'}, {'positive f_measure': '71.11%'}, {'negative precision': '64.95%'}, {'negative recall': '64.95%'}, {'negative f_measure': '64.95%'}]"
DecisionTreeClassifier,"[{'accuracy': '68.18%'}, {'positive precision': '68.58%'}, {'positive recall': '77.29%'}, {'positive f_measure': '72.67%'}, {'negative precision': '67.54%'}, {'negative recall': '67.54%'}, {'negative f_measure': '67.54%'}]"
BernoulliNB,"[{'accuracy': '69.43%'}, {'positive precision': '69.91%'}, {'positive recall': '77.53%'}, {'positive f_measure': '73.52%'}, {'negative precision': '68.69%'}, {'negative recall': '68.69%'}, {'negative f_measure': '68.69%'}]"
MultinomialNB,"[{'accuracy': '72.11%'}, {'positive precision': '68.09%'}, {'positive recall': '92.31%'}, {'positive f_measure': '78.37%'}, {'negative precision': '83.67%'}, {'negative recall': '83.67%'}, {'negative f_measure': '83.67%'}]"
ComplementNB,"[{'accuracy': '71.09%'}, {'positive precision': '76.42%'}, {'positive recall': '68.25%'}, {'positive f_measure': '72.10%'}, {'negative precision': '65.99%'}, {'negative recall': '65.99%'}, {'negative f_measure': '65.99%'}]"
KNeighborsClassifier,"[{'accuracy': '69.56%'}, {'positive precision': '77.03%'}, {'positive recall': '63.26%'}, {'positive f_measure': '69.47%'}, {'negative precision': '63.46%'}, {'negative recall': '63.46%'}, {'negative f_measure': '63.46%'}]"
RandomForestClassifier,"[{'accuracy': '70.71%'}, {'positive precision': '69.46%'}, {'positive recall': '83.00%'}, {'positive f_measure': '75.63%'}, {'negative precision': '73.09%'}, {'negative recall': '73.09%'}, {'negative f_measure': '73.09%'}]"
LogisticRegression,"[{'accuracy': '70.98%'}, {'positive precision': '75.71%'}, {'positive recall': '69.18%'}, {'positive f_measure': '72.30%'}, {'negative precision': '66.24%'}, {'negative recall': '66.24%'}, {'negative f_measure': '66.24%'}]"
MLPClassifier,"[{'accuracy': '73.21%'}, {'positive precision': '70.82%'}, {'positive recall': '86.84%'}, {'positive f_measure': '78.02%'}, {'negative precision': '78.09%'}, {'negative recall': '78.09%'}, {'negative f_measure': '78.09%'}]"
AdaBoostClassifier,"[{'accuracy': '73.39%'}, {'positive precision': '70.89%'}, {'positive recall': '87.20%'}, {'positive f_measure': '78.21%'}, {'negative precision': '78.55%'}, {'negative recall': '78.55%'}, {'negative f_measure': '78.55%'}]"
