Word,Count
loss,37184381
losses,17831717
termination,11123250
against,10231454
impairment,8600968
default,7943585
adverse,7557442
adversely,6985223
failure,5458042
restated,5404019
litigation,5080164
disclosed,5069768
limitation,4118773
discontinued,3882268
restructuring,3765106
unable,3477088
damages,3367576
terminated,3346375
deficit,3288912
breach,3216368
decline,3192740
terminate,3184712
bankruptcy,2987269
claims,2982995
limitations,2831847
unpaid,2656586
liquidation,2543027
volatility,2423519
fraud,2389956
impaired,2366514
negative,2351129
penalties,2081782
weaknesses,2041461
deficiencies,2031812
misleading,1899027
delay,1898714
damage,1895227
concern,1862832
complaint,1786879
fail,1734798
omitted,1717210
difficult,1681983
violation,1630412
omit,1555439
doubtful,1535888
defaults,1436666
negatively,1386737
delays,1369560
investigation,1359539
hazardous,1339482
contrary,1332932
defendants,1275732
inability,1266203
plaintiffs,1245356
harm,1229910
cease,1201548
alleged,1192572
dispute,1169617
absence,1138491
disclose,1088332
fails,1007340
forfeited,966387
lack,963321
conflict,958807
infringement,957953
cancellation,952901
threatened,937085
defend,917680
declined,900966
unfavorable,888585
exposed,874860
delayed,873359
delinquent,873322
resignation,864200
declines,858077
deficiency,854137
bad,852955
error,834357
dissolution,832787
doubt,819833
violations,815137
insolvency,779632
foreclosure,770328
cancelled,768110
difficulties,755726
penalty,750373
injury,744072
impairments,740294
suffer,729011
errors,723247
plaintiff,714348
disputes,710513
invalid,708179
restatement,699938
impair,695612
conflicts,673654
dispose,654696
lose,649197
criminal,644616
lost,641945
terminates,641487
depletion,640242
failed,631261
fines,627778
negligence,613482
misconduct,613414
nonperforming,611883
forfeiture,611831
unauthorized,595893
disagreements,594582
closure,587754
weakness,587349
omission,584698
challenges,581561
investigations,565388
defer,553632
misstatement,552339
concerns,548111
insufficient,535933
disruption,528620
disruptions,523612
suspended,522457
costly,521720
alleging,521363
suspension,519759
denied,511221
uncollectible,508512
canceled,502099
breaches,500224
unfunded,498037
involuntary,497133
volatile,494924
inadequate,493355
unanticipated,476737
forfeitures,475790
liquidated,475759
unreasonably,466805
violate,465735
lapse,456393
defendant,453539
allegations,453127
defaulting,452066
dismissed,446083
false,445207
obsolete,438873
injunction,436433
harmed,434231
interruption,432254
failures,428822
arrears,428321
ceased,427868
accident,426928
problem,424966
inconsistent,419369
omissions,418421
illegal,417928
difficulty,408691
declining,402432
defending,402401
defects,400448
alleges,393116
cautionary,390025
deterioration,387913
encumbrances,387905
forced,387711
incident,387544
purported,381277
poor,379301
complaints,374279
ceases,372576
severe,371287
question,370685
prejudice,366673
misstatements,365666
restructured,363832
foreclosed,360944
refusal,360429
questions,354860
cancel,342283
undue,341488
suffered,339009
ineffective,335639
challenge,335319
prevention,334378
expose,334167
downturn,330520
divestiture,328992
interfere,322500
delinquency,319715
severity,317957
unexpected,316720
infringe,315633
fraudulent,315453
suspend,313882
destruction,310778
troubled,309906
discontinue,308938
preclude,307628
claiming,306772
unresolved,305526
encumbrance,301826
counterclaim,297772
noncompliance,294864
punitive,294186
abandonment,285978
liquidate,282725
divestitures,282657
serious,282451
revocation,282423
unemployment,281970
disclosing,281577
deteriorate,281519
challenging,281046
violated,280617
unsuccessful,280001
invalidity,278159
breached,276679
demised,274577
improper,274531
interruptions,274390
slow,272539
stringent,269934
shortfall,268593
condemnation,267100
defaulted,264984
disasters,256860
divert,256412
opposed,256311
damaged,249480
terminating,248465
contested,248061
substandard,246390
incorrect,244443
infringing,243622
shortages,241567
prosecution,240408
destroyed,240268
objection,239269
fired,239004
unlawful,237982
inaccurate,237700
inquiry,236940
restructurings,236737
downward,234709
denial,234359
abandoned,234345
obsolescence,232749
liquidating,231651
unforeseen,231575
allegedly,231406
disrupt,228511
interference,227272
corrections,225771
diversion,225485
restructure,225087
catastrophe,224839
problems,224214
challenged,222255
resign,222036
disputed,220436
correction,219762
failing,219301
antitrust,217280
resigned,217057
dismissal,215883
delinquencies,214510
terminations,214066
defect,211992
protest,209882
recall,208655
redacted,208020
insolvent,207920
allege,205711
abuse,201430
undercapitalized,200421
unavailable,199012
susceptible,197932
preventing,196855
disaster,194110
revoke,191329
nonperformance,190655
unqualified,189298
unpredictable,188875
impossible,188645
outages,188437
instability,188076
overdue,187872
cautioned,187804
unfair,187612
fault,185632
corrected,184014
knowingly,183172
curtailment,183104
closures,183093
intentional,182686
outage,182582
misappropriation,182515
discourage,181855
crisis,176220
refuse,174923
excessive,172603
break,170911
cut,170474
misrepresentation,169520
injuries,168045
weak,167766
defective,166913
burden,166599
threat,166466
ineffectiveness,164800
investigate,164552
moratorium,163556
seriously,161635
slowdown,161507
cancellations,161416
recession,161313
prolonged,159995
revoked,159086
barriers,158992
divested,158943
investigating,158648
shut,158281
stress,157907
curtail,156110
downgrade,155714
infringed,153048
rejected,151914
stolen,150555
disqualified,149589
vulnerable,149359
uninsured,144316
closings,143583
catastrophic,142412
caution,142094
diminish,141945
downturns,141681
delaying,140916
liquidator,140388
controversy,139765
denying,139661
slower,139517
negligent,137517
discontinuance,136371
prosecute,136138
repossessed,135629
injunctions,135517
hazards,135348
incidents,134708
incapacity,133985
sue,133153
severely,132169
restate,131366
rejection,130714
disinterested,129661
scrutiny,128577
shutdown,127910
warning,127821
undelivered,127562
abandon,127090
subpoena,125620
diminished,125474
felony,125064
subjected,124798
threats,124421
impede,123511
solvency,123351
purport,122089
encumbered,121165
opposition,121164
wrongful,120554
deny,119806
recalls,119749
conviction,119126
laundering,118524
invalidated,118368
nonpayment,116673
uncompleted,116532
breakdown,115144
strain,114840
dismiss,113707
reject,113692
lag,112367
shortage,111669
objections,110942
diminution,110615
unreimbursed,109797
hardship,108445
encumber,108240
shortfalls,107167
exploitation,106099
foreclose,105814
attrition,105253
hazard,104312
burdens,103234
sued,103165
illegality,103120
weakening,103114
hinder,102485
bankrupt,102141
disadvantage,101634
foreclosures,101057
unwilling,100198
unreasonable,99921
disagreement,99345
disregarded,99210
unsafe,99070
detrimental,99039
illiquid,98541
invalidate,98061
improperly,97504
verdict,97419
corrupt,97096
prosecuting,96750
violates,96340
exploit,96245
idle,96018
circumvented,95711
harmful,95430
exposes,94775
disclaim,94412
weaker,94312
concerned,93167
deter,91691
forfeit,91610
renegotiated,91291
dishonesty,91153
relinquish,90216
accidents,89935
guilty,89841
crime,89683
discontinuation,89281
disproportionate,88631
irreparable,88368
breakage,88257
disrupted,87894
restatements,87742
ineligible,86540
conflicting,86379
divest,86331
unsound,84942
incomplete,84826
corruption,83972
distressed,83671
unavailability,82724
inconsistency,82380
clawback,82334
deficits,82306
accidental,81571
suspected,81502
delisting,81486
unfavorably,81464
involuntarily,81315
contesting,81312
downgrades,80582
resigns,80565
jeopardize,80496
misuse,80480
inappropriate,80380
depressed,80045
bribery,79381
discloses,78623
stoppages,78356
deceased,77406
precluded,76723
prevents,76536
downgraded,76418
enjoin,75969
disallowed,75035
postpone,74895
erosion,74814
unjust,74718
lapsed,74319
breaching,74096
violating,73928
plea,73637
overcome,73415
repossession,73239
overruns,72942
disclaimer,72456
impracticable,72381
underpayment,72036
suspending,71614
unrest,71466
ceasing,71409
infringes,70816
mistake,70680
undisclosed,70474
wrongdoing,70455
kickback,70154
willfully,70052
abnormal,69990
depleted,69671
inefficiencies,69371
unprofitable,69350
burdensome,68856
inconvenient,68766
delisted,68280
weakened,68195
inaccuracy,67979
distress,67703
disallowance,67421
deteriorated,67279
critically,67102
unacceptable,66989
losing,66715
threatening,66390
breakdowns,66180
nondisclosure,65046
unnecessary,65000
illiquidity,64884
argument,64335
dismissing,64207
purporting,63964
stoppage,63753
dropped,63718
incidence,63717
disgorgement,63673
collusion,63432
markdowns,63340
unaware,63259
refused,63234
disciplinary,63224
purports,62957
omits,62939
encumbering,62521
enjoining,62497
unsatisfied,62373
faulty,62331
purportedly,62294
depress,62018
downtime,61872
postponed,61445
overpayment,61350
curtailed,61293
neglect,61085
vulnerability,61006
inaction,60697
complications,60405
interrupted,59888
disqualification,59843
unforeseeable,59775
renegotiate,58996
rationalization,58687
usury,58024
disruptive,57628
deceptive,56980
incapable,56930
investigated,55734
destroy,55705
renegotiation,55630
bankruptcies,55611
unsold,55477
slowing,55209
shutdowns,55036
imbalance,54792
suffering,54740
disagree,54738
unplanned,54519
underfunded,54491
worthless,54356
convicted,54264
slowly,54226
standstill,54089
arguments,54081
manipulation,53981
catastrophes,53962
denies,53833
disturbance,53770
forego,53752
hurt,53246
embezzlement,52990
disadvantageous,52981
deteriorating,52899
inadvertent,52876
nuisance,52552
interrupt,52454
writedown,52354
slowed,52205
refuses,51897
tightening,51880
counterclaims,51778
postponement,51386
risky,51084
reassessment,51040
stopped,50718
misrepresentations,50688
undesirable,50617
curtailments,50468
lapses,50360
distraction,50254
disproportionately,49997
detriment,49965
demolition,49947
barrier,49870
warnings,49607
assertions,49408
uncollected,49307
invalidating,49273
underperforming,49204
dishonor,49102
correcting,48487
contraction,48451
cautions,48303
unscheduled,48152
summons,47654
conspiracy,47632
worst,47588
criticized,47508
subpoenas,47054
malpractice,46940
restating,46712
impairing,46704
inadvertently,46634
incorrectly,46274
alienation,46182
malicious,46148
escalating,46091
deviation,45784
barred,45745
prosecuted,45632
sharply,45530
opportunistic,45485
resignations,45134
injurious,45074
repossessions,45009
injured,45006
writedowns,44923
unsuitable,44587
alerting,44467
undetected,44417
complicated,44212
imbalances,44079
turmoil,44073
deviations,43954
questionable,43537
harassment,43493
oppose,43305
resigning,43009
discontinuing,42908
erroneous,42791
endangered,42719
restates,42689
hostile,42526
tolerated,42478
illegible,42162
refusing,41813
misappropriated,41796
allegation,41702
unapproved,41621
disapprove,41554
detention,41420
unremedied,41184
unliquidated,41146
worse,41072
unstable,40731
irregularities,40625
diverted,40316
subjecting,40198
discouraging,40051
litigations,39784
controversies,39622
wrongfully,39245
threaten,39054
confined,38972
enjoined,38829
breaks,38623
unsatisfactory,38488
retaliation,38448
impractical,38278
deprive,38155
defamation,38091
relinquishment,38090
protracted,37978
exacerbated,37872
slowdowns,37829
shrinkage,37715
liquidations,37670
lacks,37616
relinquished,37533
halt,37397
unrecovered,37198
prejudiced,37128
unduly,37077
grievance,37022
weaken,37011
wrong,36673
oversupply,36596
distract,36552
imprisonment,36491
suffers,36150
degradation,36123
divulge,36060
vulnerabilities,35915
premature,35810
inconsistencies,35581
markdown,35430
dangerous,35398
onerous,35325
severed,35281
objecting,35149
pleadings,34851
misappropriate,34562
dissenting,34377
detract,34219
intrusion,33977
ill,33961
expropriation,33682
overpayments,33590
disapproval,33570
lying,33561
litigated,33557
debarment,33420
overstated,33392
worsen,33315
deliberate,33281
recessionary,33264
defended,33242
discrepancy,33196
sabotage,32784
persist,32747
malfunction,32733
deficient,32700
disqualifying,32674
drought,32587
inaccuracies,32559
impairs,32550
unpredictability,32434
warn,32291
dissent,32216
pleas,32181
plead,32069
inadequately,31748
persistent,31726
eviction,31628
disregard,31607
perils,31490
reluctant,31467
danger,31438
disturbances,31397
disagrees,31139
disputing,31072
downsizing,30897
faults,30874
pleading,30467
missed,30323
collision,30232
poses,30159
objected,30051
worsening,29986
opposing,29946
exposing,29785
doubts,29723
strains,29635
dissatisfaction,29634
indefeasible,29389
precludes,29133
litigate,29126
idled,28894
infringements,28853
peril,28586
suspensions,28532
circumvent,28496
malfeasance,28443
malfunctions,28253
discrepancies,28116
crises,27954
unintended,27796
unmarketable,27767
layoff,27756
interfering,27486
incompetent,27360
vandalism,27086
deviate,27082
wasted,27012
circumvention,26984
reckless,26694
defraud,26601
collapse,26579
artificially,26387
unexpectedly,26246
damaging,26134
loses,26110
lacked,25967
suing,25740
indictment,25716
uneconomical,25665
contends,25511
fictitious,25470
discontinues,25140
adversary,25134
obstacles,25079
foregone,25052
pretrial,24885
hindered,24636
canceling,24602
setbacks,24538
escalated,24497
threatens,24466
suspect,24440
disregarding,24257
interferes,24229
inconvenience,24195
unreliable,24187
anomalies,24107
exculpation,23850
unrecoverable,23807
violence,23614
crucial,23605
indefeasibly,23483
underperformance,23452
disparage,23394
abusive,23380
rejecting,23375
disparagement,23245
exacerbate,23162
recessions,23108
unreported,23101
understated,23057
stops,23044
mistakes,22992
protests,22821
deteriorates,22559
halted,22551
dysfunction,22548
cancels,22530
unethical,22450
disadvantages,22360
confusion,22352
urgent,22333
disqualify,22181
uncollectable,22071
nonconforming,22061
exculpatory,22053
diminishing,21938
prejudicial,21932
pervasive,21913
argued,21899
embargoes,21881
counterfeit,21708
unwillingness,21536
fraudulently,21349
severities,21271
grievances,21220
miscalculations,21164
abetting,21105
contend,21093
uncorrected,21086
alienated,21023
abandoning,20962
arrearages,20858
fear,20672
lockout,20653
disparaging,20646
interfered,20592
disclaims,20574
opportunistically,20513
revoking,20439
noncompetitive,20345
exploiting,20334
mismatch,20319
trouble,20293
grossly,20278
bans,20230
absences,20114
overturned,20042
unusable,20027
insufficiency,19960
burdened,19893
spam,19838
revokes,19813
disallowances,19796
misdemeanor,19770
escalate,19763
overstatement,19754
crimes,19746
alienate,19699
reassignment,19613
nonrenewal,19589
quit,19586
incompatible,19560
overage,19507
perjury,19436
drag,19403
diminishes,19232
condemned,19209
obstruct,19208
disapproved,19179
incompetence,19177
prone,19175
invalidation,19161
contradicted,19012
denials,18951
uneconomic,18940
inefficient,18924
harsh,18904
rejections,18800
misappropriating,18741
jeopardized,18704
chargeoffs,18675
recalled,18667
untimely,18614
inadequacy,18598
illegally,18536
disturb,18455
seized,18448
poorly,18375
rejects,18243
irregular,18224
impermissible,18199
uncontrollable,18141
lockouts,18103
unlicensed,18023
annulment,17912
undetermined,17893
inconclusive,17872
disallow,17800
divesting,17796
suspicious,17763
weakens,17754
frustrate,17706
disturbed,17700
stressed,17671
erode,17662
layoffs,17662
verdicts,17627
unsuspected,17528
nonattainment,17495
disclaimed,17493
undermine,17482
incapacitated,17393
litigating,17271
flaws,17263
objectionable,17259
understatement,17241
overcapacity,17239
inferior,17190
deplete,17184
unintentional,17006
lapsing,16936
divorce,16930
easing,16926
diverting,16837
conspired,16837
unannounced,16823
condemning,16767
negatives,16751
disclaimers,16750
deterring,16692
seize,16671
lie,16665
impending,16385
stopping,16379
mismanagement,16360
nullifies,16285
displacement,16276
defensive,16261
curtailing,16243
renegotiating,16179
disparity,16143
debarred,16138
omitting,16121
disrupting,16091
intermittent,16029
voided,15984
uncovered,15789
outdated,15727
oppositions,15608
questioned,15556
accused,15499
impeding,15463
uncollectibility,15457
abandonments,15433
impediments,15429
prosecutions,15401
misrepresented,15351
ignored,15341
reassessments,15314
misstated,15282
litigant,15249
encroachments,15243
injure,15118
susceptibility,15083
burned,15064
annulled,15031
concealed,14951
underutilized,14934
divestment,14917
dissatisfied,14906
hamper,14897
unavoidable,14777
frivolous,14728
foreclosing,14710
closeout,14696
mismatches,14683
precluding,14612
lags,14593
misapplication,14584
annul,14553
forcing,14448
kickbacks,14431
irreparably,14411
sluggish,14376
manipulate,14369
fears,14363
rationalize,14359
questioning,14344
redress,14321
depleting,14208
fatalities,14204
idling,14172
litigants,14165
lacking,14160
imperative,14000
suspends,13878
unattractive,13826
unlawfully,13822
reassigned,13811
harming,13720
delist,13711
monopoly,13701
unwanted,13665
hampered,13605
arrearage,13576
uncollectibles,13570
disappointing,13496
inactions,13467
abnormally,13372
usurious,13369
uncontrolled,13334
riskier,13314
shutting,13233
prematurely,13211
underperform,13203
duress,13168
erroneously,13156
reluctance,12982
unfulfilled,12966
inappropriately,12931
inevitable,12890
confiscation,12880
deterrent,12860
uncover,12847
underestimate,12831
embargo,12754
manipulated,12750
cyberattacks,12718
demise,12680
anomaly,12585
overburden,12475
relinquishes,12344
liquidates,12302
dissenters,12071
degrade,12050
counterfeiting,12033
miss,12012
exploited,11984
fined,11912
downgrading,11900
destructive,11879
obstruction,11875
implicated,11810
arrest,11736
insolvencies,11722
unoccupied,11722
concealing,11708
impeded,11698
acquiesce,11692
dishonest,11680
renegotiations,11613
contention,11441
impediment,11428
endanger,11324
arguing,11127
underinsured,11115
abolish,11111
insurrection,11103
displaced,11099
unfairly,11075
anticompetitive,11066
offending,11015
unfit,10968
racketeer,10935
disadvantaged,10887
anomalous,10866
overturn,10799
overcoming,10753
counterclaimed,10750
droughts,10747
unjustly,10701
demotion,10652
inequitable,10628
contended,10537
displace,10536
retaliatory,10440
negligently,10427
endangerment,10409
sever,10400
deliberately,10389
deceit,10377
deadlock,10366
prolong,10342
stresses,10338
interferences,10292
exoneration,10290
contempt,10209
overpaid,10100
aftermath,10030
strained,10017
lagged,9991
tense,9976
inhibited,9974
revocations,9968
demising,9958
bribe,9897
dismissals,9873
dangers,9814
confession,9778
derogatory,9765
distracting,9737
irregularity,9729
cutbacks,9716
irreversible,9698
depressing,9648
cancelling,9625
writeoff,9618
confusingly,9593
restructures,9547
unwarranted,9518
complicating,9514
unfortunately,9514
traumatic,9471
persists,9465
underpaid,9441
excessively,9393
inexperienced,9389
indicted,9389
petty,9370
problematic,9340
precipitated,9314
abnormalities,9287
overlook,9235
noncompliant,9203
defeat,9202
overload,9192
disallowing,9191
unnecessarily,9151
deprived,9143
ineligibility,9127
slander,9126
compulsion,9122
falsifying,9092
testify,9072
nullify,8983
