Target,1,2,3,4,5, 6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
MMM,JCI,CLX,GE,HWM,CTSH,SLB,BKR,DOW,VMC,IR,DOV,BWA,STE,ETN,WHR,DD,FTV,EMR,SWK,CTLT
ABT,VTRS,MCK,CTLT,STE,HOLX,CAH,BAX,CLX,ZBH,PFE,MRK,UNH,JNJ,BDX,OGN,ABC,MDT,REGN,LLY,BSX
ABBV,REGN,BMY,AMGN,GILD,BIIB,INCY,LLY,PFE,VRTX,WST,MDT,BDX,OGN,ZBH,HOLX,ABMD,BSX,ABC,CAH,ABT
ABMD,EW,MDT,ISRG,REGN,ABBV,DXCM,GILD,DVA,AMGN,BIIB,BMY,LLY,WST,ZBH,COO,HOLX,BSX,VRTX,RMD,BAX
ACN,EPAM,FTV,OMC,NOW,CTXS,J,TRMB,ORCL,AON,ALLE,CTSH,ANSS,DXC,DOV,WAT,ADP,ROP,GWW,MMC,DGX
ATVI,EA,TTWO,CPRT,AMZN,CDW,ADBE,MSFT,CDAY,NVDA,NFLX,HAS,IT,VRSK,HPQ,ANET,GOOGL,GOOG,MNST,TEL,MGM
ADBE,MSFT,HPQ,CDW,IT,VRSK,EFX,GPN,NWSA,NWS,QCOM,NLSN,ATVI,AXP,IQV,IEX,TEL,TYL,CBRE,AMZN,MNST
AAP,AZO,GPC,ORLY,CAT,LKQ,APTV,DOV,SWK,TSLA,GM,PH,AVY,EMR,FAST,SNA,GWW,LIN,MLM,MAS,CF
AMD,AVGO,INTC,TER,NVDA,NXPI,MCHP,KLAC,SWKS,SNPS,CDNS,WDC,MPWR,LRCX,ZBRA,AME,TXN,MU,KEYS,MSI,QRVO
AFL,CI,GL,HUM,CVS,OGN,MET,L,MRK,CAH,WRB,HCA,PFE,COO,CNC,AIZ,CINF,BAX,CL,WST,UNH
A,TMO,FTV,TECH,PKI,IR,BIO,TDY,KEYS,WAT,DHR,DOV,GLW,ILMN,NDSN,EPAM,ACN,ECL,ANSS,IQV,TT
APD,LIN,TT,AVY,EMR,FTV,DOV,PPG,DOW,PH,NDSN,IR,AME,ALLE,EMN,GLW,APTV,GWW,TDG,TDY,CF
AKAM,FTNT,FFIV,NLOK,ANET,NOW,CTXS,CSCO,NTAP,CSGP,ORCL,CHTR,LUMN,VRSN,PTC,ROP,DXC,HPE,MCHP,NVDA,PAYC
ALK,LUV,AAL,ODFL,NCLH,ATO,CMG,SRE,EXR,UAL,DRI,DUK,UHS,EXPD,DAL,YUM,ZION,D,AWK,MOH,MRO
ALB,CE,APH,VLO,DD,MNST,HPQ,OXY,CDW,AMAT,MOS,DHR,TEL,SWKS,GLW,DUK,ON,DOW,WDC,CTLT,LIN
ARE,PLD,UDR,KIM,MAA,BXP,VNO,AVB,PSA,HST,IRM,CPT,VTR,ESS,WY,WELL,SPG,EXR,O,VICI,PEAK
ALGN,BIIB,BAX,JNJ,BMY,RMD,ZBH,XRAY,SYK,HSIC,MDT,ISRG,CAH,BDX,REGN,COO,TFX,WST,ABBV,AMGN,GILD
ALLE,DOV,GWW,AVY,SNA,GLW,ANET,FTV,EMR,LUMN,APTV,EPAM,LIN,ACN,TT,OMC,WDC,FAST,JNPR,CTXS,INTC
LNT,CNP,DUK,AEP,AEE,ETR,WEC,CMS,SO,XEL,VLO,SRE,NEE,NI,ES,D,AES,EXC,OXY,MPC,ATO
GOOGL,GOOGL,AAPL,WDC,BBY,GRMN,ANET,EXPE,ETSY,AMZN,TTWO,CPRT,TMUS,NVDA,VZ,COST,CSGP,EA,AKAM,EBAY,LIN
GOOG,GOOGL,AAPL,WDC,BBY,GRMN,ANET,EXPE,ETSY,AMZN,TTWO,CPRT,TMUS,NVDA,VZ,COST,CSGP,EA,AKAM,EBAY,LIN
MO,PM,PKG,KDP,STZ,BBWI,KR,IP,KO,COST,ABC,TAP,BF-B,MPC,SYF,MRO,MNST,SJM,WBA,AMCR,PGR
